Date,Post link,View,Post Hour,Bank,Time of day
26/9/2023,https://t.me/tikvahethiopia/81734,239800,10:18,BOA,night 
19/9/2023,https://t.me/tikvahethiopia/81606,258400,6:53,BOA,night 
15/9/2023,https://t.me/tikvahethiopia/81502,269400,3:56,BOA,evening 
8/9/2023,https://t.me/tikvahethiopia/81338,219400,10:50,BOA,afternoon
5/9/2023,https://t.me/tikvahethiopia/81252,255900,1:19,BOA,afternoon
1/9/2023,https://t.me/tikvahethiopia/81165,259100,10:20,BOA,afternoon
29/8/2023,https://t.me/tikvahethiopia/81123,232100,9:02,BOA,afternoon
5/3/2023,https://t.me/tikvahethiopia/76814,244100,9:32,BOA,evening 
26/1/2023,https://t.me/tikvahethiopia/76089,129400,9:49,BOA,night 
25/1/2023,https://t.me/tikvahethiopia/76075,299100,11:38,BOA,evening 
17/3/2022,https://t.me/tikvahethiopia/68651,249700,4:43,BOA,morning
3/3/2022,https://t.me/tikvahethiopia/68259,259400,5:30,BOA,afternoon
24/2/2022,https://t.me/tikvahethiopia/68037,245600,4:11,BOA,afternoon
17/2/2022,https://t.me/tikvahethiopia/67831,218400,2:23,BOA,evening 
3/2/2022,https://t.me/tikvahethiopia/67371,212300,3:10,BOA,morning
20/1/2022,https://t.me/tikvahethiopia/66803,206900,4:21,BOA,evening 
30/12/2021,https://t.me/tikvahethiopia/66171,207900,3:16,BOA,morning
23/12/2021,https://t.me/tikvahethiopia/65938,213700,3:13,BOA,evening 
16/12/2021,https://t.me/tikvahethiopia/65688,213300,4:57,BOA,afternoon
6/12/2018,https://t.me/tikvahethiopia/5339,170200,7:47,BOA,evening 
23/5/2018,https://t.me/tikvahethiopia/4722,160400,8:11,BOA,afternoon
2023-10-11 17:20:29+00:00,https://t.me/tikvahethiopia/82193,352067,17:20,banksinethiopia,NaN
2023-10-13 09:40:32+00:00,https://t.me/tikvahethiopia/82218,301996,09:40,Apollodigitalbank,NaN
2023-10-13 09:40:32+00:00,https://t.me/tikvahethiopia/82218,301996,09:40,Apollodigitalproduct,NaN
2023-10-17 07:25:35+00:00,https://t.me/tikvahethiopia/82322,288851,07:25,Apollodigitalbank,NaN
2023-10-17 07:25:35+00:00,https://t.me/tikvahethiopia/82322,288851,07:25,Apollodigitalproduct,NaN
2023-10-24 17:20:09+00:00,https://t.me/tikvahethiopia/82455,286091,17:20,Apollodigitalbank,NaN
2023-10-24 17:20:09+00:00,https://t.me/tikvahethiopia/82455,286091,17:20,Apollodigitalproduct,NaN
2023-10-31 19:25:14+00:00,https://t.me/tikvahethiopia/82620,312352,19:25,Apollodigitalbank,NaN
2023-10-31 19:25:14+00:00,https://t.me/tikvahethiopia/82620,312352,19:25,Apollodigitalproduct,NaN
2023-11-01 06:47:37+00:00,https://t.me/tikvahethiopia/82626,314418,06:47,banksinethiopia,NaN
2023-11-03 14:25:02+00:00,https://t.me/tikvahethiopia/82653,263791,14:25,Apollodigitalbank,NaN
2023-11-03 14:25:02+00:00,https://t.me/tikvahethiopia/82653,263791,14:25,Apollodigitalproduct,NaN
2023-11-11 10:14:44+00:00,https://t.me/tikvahethiopia/82802,280085,10:14,banksinethiopia,NaN
2023-11-22 07:38:04+00:00,https://t.me/tikvahethiopia/83053,283800,07:38,banksinethiopia,NaN
2023-12-08 17:03:35+00:00,https://t.me/tikvahethiopia/83371,271553,17:03,Apollodigitalbank,NaN
2023-12-08 17:03:35+00:00,https://t.me/tikvahethiopia/83371,271553,17:03,Apollodigitalproduct,NaN
2023-12-12 10:26:43+00:00,https://t.me/tikvahethiopia/83456,271437,10:26,bankinginethiopia,NaN
2023-12-12 10:26:43+00:00,https://t.me/tikvahethiopia/83456,271437,10:26,banksinethiopia,NaN
2023-12-15 09:05:02+00:00,https://t.me/tikvahethiopia/83530,264225,09:05,Apollodigitalbank,NaN
2023-12-15 09:05:02+00:00,https://t.me/tikvahethiopia/83530,264225,09:05,Apollodigitalproduct,NaN
2023-12-19 08:08:29+00:00,https://t.me/tikvahethiopia/83647,257993,08:08,bankinginethiopia,NaN
2023-12-19 08:08:29+00:00,https://t.me/tikvahethiopia/83647,257993,08:08,banksinethiopia,NaN
2023-12-22 16:51:01+00:00,https://t.me/tikvahethiopia/83708,243202,16:51,Apollodigitalbank,NaN
2023-12-22 16:51:01+00:00,https://t.me/tikvahethiopia/83708,243202,16:51,Apollodigitalproduct,NaN
2023-12-26 08:06:21+00:00,https://t.me/tikvahethiopia/83776,242298,08:06,bankinginethiopia,NaN
2023-12-26 08:06:21+00:00,https://t.me/tikvahethiopia/83776,242298,08:06,banksinethiopia,NaN
2024-01-02 07:35:27+00:00,https://t.me/tikvahethiopia/83919,251634,07:35,bankinginethiopia,NaN
2024-01-02 07:35:27+00:00,https://t.me/tikvahethiopia/83919,251634,07:35,banksinethiopia,NaN
2024-01-12 14:28:38+00:00,https://t.me/tikvahethiopia/84219,280061,14:28,bankinginethiopia,NaN
2024-01-12 14:28:38+00:00,https://t.me/tikvahethiopia/84219,280061,14:28,banksinethiopia,NaN
2024-01-16 14:37:29+00:00,https://t.me/tikvahethiopia/84279,276759,14:37,bankinginethiopia,NaN
2024-01-16 14:37:29+00:00,https://t.me/tikvahethiopia/84279,276759,14:37,banksinethiopia,NaN
2024-01-19 18:32:49+00:00,https://t.me/tikvahethiopia/84409,231917,18:32,bankinginethiopia,NaN
2024-01-19 18:32:49+00:00,https://t.me/tikvahethiopia/84409,231917,18:32,banksinethiopia,NaN
2024-01-23 07:22:23+00:00,https://t.me/tikvahethiopia/84534,257981,07:22,Apollodigitalbank,NaN
2024-01-23 07:22:23+00:00,https://t.me/tikvahethiopia/84534,257981,07:22,Apollodigitalproduct,NaN
2024-01-26 07:32:21+00:00,https://t.me/tikvahethiopia/84630,208697,07:32,Apollodigitalbank,NaN
2024-01-26 07:32:21+00:00,https://t.me/tikvahethiopia/84630,208697,07:32,Apollodigitalproduct,NaN
2024-01-30 08:39:40+00:00,https://t.me/tikvahethiopia/84729,255985,08:39,bankinginethiopia,NaN
2024-01-30 08:39:40+00:00,https://t.me/tikvahethiopia/84729,255985,08:39,banksinethiopia,NaN
2024-02-02 07:36:51+00:00,https://t.me/tikvahethiopia/84836,270257,07:36,Apollodigitalbank,NaN
2024-02-02 07:36:51+00:00,https://t.me/tikvahethiopia/84836,270257,07:36,Apollodigitalproduct,NaN
2024-02-09 19:52:24+00:00,https://t.me/tikvahethiopia/85031,264948,19:52,bankinginethiopia,NaN
2024-02-09 19:52:24+00:00,https://t.me/tikvahethiopia/85031,264948,19:52,banksinethiopia,NaN
2024-02-13 10:03:18+00:00,https://t.me/tikvahethiopia/85121,267527,10:03,bankinginethiopia,NaN
2024-02-13 10:03:18+00:00,https://t.me/tikvahethiopia/85121,267527,10:03,banksinethiopia,NaN
2024-02-20 08:39:27+00:00,https://t.me/tikvahethiopia/85306,251727,08:39,Apollodigitalbank,NaN
2024-02-20 08:39:27+00:00,https://t.me/tikvahethiopia/85306,251727,08:39,Apollodigitalproduct,NaN
2024-02-23 20:13:49+00:00,https://t.me/tikvahethiopia/85407,233551,20:13,Apollodigitalbank,NaN
2024-02-23 20:13:49+00:00,https://t.me/tikvahethiopia/85407,233551,20:13,Apollodigitalproduct,NaN
2024-02-27 17:47:25+00:00,https://t.me/tikvahethiopia/85515,258690,17:47,bankinginethiopia,NaN
2024-02-27 17:47:25+00:00,https://t.me/tikvahethiopia/85515,258690,17:47,banksinethiopia,NaN
2024-02-27 17:47:25+00:00,https://t.me/tikvahethiopia/85515,258690,17:47,BankofAbyssina,NaN
2024-03-05 08:33:29+00:00,https://t.me/tikvahethiopia/85730,239177,08:33,Apollodigitalbank,NaN
2024-03-05 08:33:29+00:00,https://t.me/tikvahethiopia/85730,239177,08:33,Apollodigitalproduct,NaN
2024-03-22 08:49:39+00:00,https://t.me/tikvahethiopia/86200,287620,08:49,Apollodigitalbank,NaN
2024-03-22 08:49:39+00:00,https://t.me/tikvahethiopia/86200,287620,08:49,Apollodigitalproduct,NaN
2024-03-26 17:41:31+00:00,https://t.me/tikvahethiopia/86335,238370,17:41,Apollodigitalbank,NaN
2024-03-26 17:41:31+00:00,https://t.me/tikvahethiopia/86335,238370,17:41,Apollodigitalproduct,NaN
2024-03-29 11:47:27+00:00,https://t.me/tikvahethiopia/86471,276887,11:47,bankinginethiopia,NaN
2024-03-29 11:47:27+00:00,https://t.me/tikvahethiopia/86471,276887,11:47,banksinethiopia,NaN
2024-03-29 11:47:27+00:00,https://t.me/tikvahethiopia/86471,276887,11:47,BankofAbyssina,NaN
2024-04-02 11:13:01+00:00,https://t.me/tikvahethiopia/86555,284310,11:13,Apollodigitalbank,NaN
2024-04-02 11:13:01+00:00,https://t.me/tikvahethiopia/86555,284310,11:13,Apollodigitalproduct,NaN
2024-04-11 08:06:04+00:00,https://t.me/tikvahethiopia/86831,273450,08:06,Apollodigitalbank,NaN
2024-04-11 08:06:04+00:00,https://t.me/tikvahethiopia/86831,273450,08:06,Apollodigitalproduct,NaN
2024-04-12 18:20:16+00:00,https://t.me/tikvahethiopia/86867,322211,18:20,Apollodigitalbank,NaN
2024-04-12 18:20:16+00:00,https://t.me/tikvahethiopia/86867,322211,18:20,Apollodigitalproduct,NaN
2024-04-16 08:12:46+00:00,https://t.me/tikvahethiopia/86950,295223,08:12,bankinginethiopia,NaN
2024-04-16 08:12:46+00:00,https://t.me/tikvahethiopia/86950,295223,08:12,banksinethiopia,NaN
2024-04-16 08:12:46+00:00,https://t.me/tikvahethiopia/86950,295223,08:12,BankofAbyssina,NaN
2024-04-19 17:11:18+00:00,https://t.me/tikvahethiopia/87018,292016,17:11,Apollodigitalbank,NaN
2024-04-19 17:11:18+00:00,https://t.me/tikvahethiopia/87018,292016,17:11,Apollodigitalproduct,NaN
2024-04-23 14:23:46+00:00,https://t.me/tikvahethiopia/87134,293085,14:23,bankinginethiopia,NaN
2024-04-23 14:23:46+00:00,https://t.me/tikvahethiopia/87134,293085,14:23,banksinethiopia,NaN
2024-04-23 14:23:46+00:00,https://t.me/tikvahethiopia/87134,293085,14:23,BankofAbyssina,NaN
2024-04-26 18:11:43+00:00,https://t.me/tikvahethiopia/87236,264018,18:11,BoAATM,NaN
2024-04-26 18:11:43+00:00,https://t.me/tikvahethiopia/87236,264018,18:11,bankinginethiopia,NaN
2024-04-26 18:11:43+00:00,https://t.me/tikvahethiopia/87236,264018,18:11,banksinethiopia,NaN
2024-04-30 17:01:34+00:00,https://t.me/tikvahethiopia/87344,234754,17:01,bankinginethiopia,NaN
2024-04-30 17:01:34+00:00,https://t.me/tikvahethiopia/87344,234754,17:01,banksinethiopia,NaN
2024-05-03 16:40:40+00:00,https://t.me/tikvahethiopia/87443,276590,16:40,BoAATM,NaN
2024-05-03 16:40:40+00:00,https://t.me/tikvahethiopia/87443,276590,16:40,bankinginethiopia,NaN
2024-05-03 16:40:40+00:00,https://t.me/tikvahethiopia/87443,276590,16:40,banksinethiopia,NaN
2024-05-07 10:46:34+00:00,https://t.me/tikvahethiopia/87496,304843,10:46,bankinginethiopia,NaN
2024-05-07 10:46:34+00:00,https://t.me/tikvahethiopia/87496,304843,10:46,banksinethiopia,NaN
2024-05-10 13:39:46+00:00,https://t.me/tikvahethiopia/87532,280936,13:39,bankinginethiopia,NaN
2024-05-10 13:39:46+00:00,https://t.me/tikvahethiopia/87532,280936,13:39,banksinethiopia,NaN
2024-05-14 07:49:21+00:00,https://t.me/tikvahethiopia/87636,251011,07:49,bankinginethiopia,NaN
2024-05-14 07:49:21+00:00,https://t.me/tikvahethiopia/87636,251011,07:49,banksinethiopia,NaN
2024-05-14 07:49:21+00:00,https://t.me/tikvahethiopia/87636,251011,07:49,BankofAbyssina,NaN
2024-05-17 08:08:16+00:00,https://t.me/tikvahethiopia/87693,242611,08:08,bankinginethiopia,NaN
2024-05-17 08:08:16+00:00,https://t.me/tikvahethiopia/87693,242611,08:08,banksinethiopia,NaN
2024-05-21 12:40:51+00:00,https://t.me/tikvahethiopia/87794,245431,12:40,Abyssinia_Bank,NaN
